Index,Date,Month,Year,USD/BDT
773,14,1,2013,79.81
774,15,1,2013,79.81
775,16,1,2013,79.79
776,17,1,2013,79.81
777,18,1,2013,79.63
778,21,1,2013,79.6
779,22,1,2013,79.63
780,23,1,2013,79.67
781,24,1,2013,79.48
782,25,1,2013,79.54
783,28,1,2013,79.54
784,29,1,2013,79.6
785,30,1,2013,79.53
786,31,1,2013,79.48
787,1,2,2013,79.48
788,4,2,2013,78.6
789,5,2,2013,78.73
790,6,2,2013,78.85
791,7,2,2013,78.29
792,8,2,2013,78.28
793,11,2,2013,78.21
794,12,2,2013,78.32
795,13,2,2013,78.32
796,14,2,2013,79.13
797,15,2,2013,79.13
798,18,2,2013,79.13
799,19,2,2013,79.05
800,20,2,2013,79.05
801,21,2,2013,79.05
802,22,2,2013,79.06
803,25,2,2013,79.05
804,26,2,2013,79.02
805,27,2,2013,79.02
806,28,2,2013,78.86
807,1,3,2013,78.97
808,4,3,2013,78.85
809,5,3,2013,78.85
810,6,3,2013,78.91
811,7,3,2013,78.86
812,8,3,2013,78.73
813,11,3,2013,78.76
814,12,3,2013,78.79
815,13,3,2013,78.79
816,14,3,2013,78.72
817,15,3,2013,78.62
818,18,3,2013,78.67
819,19,3,2013,78.71
820,20,3,2013,78.59
821,21,3,2013,78.43
822,22,3,2013,78.4
823,25,3,2013,78.48
824,26,3,2013,78.395
825,27,3,2013,78.39
826,28,3,2013,78.35
827,29,3,2013,78.16
828,1,4,2013,78.15
829,2,4,2013,78.15
830,3,4,2013,78.18
831,4,4,2013,78.21
832,5,4,2013,78.18
833,8,4,2013,78.18
834,9,4,2013,78.18
835,10,4,2013,78.13
836,11,4,2013,78.08
837,12,4,2013,78.145
838,15,4,2013,78.22
839,16,4,2013,78.125
840,17,4,2013,78.02
841,18,4,2013,78.02
842,19,4,2013,78.23
843,22,4,2013,78.14
844,23,4,2013,78.02
845,24,4,2013,77.93
846,25,4,2013,78.05
847,26,4,2013,78.06
848,29,4,2013,78.04
849,30,4,2013,78.17
850,1,5,2013,78.11
851,2,5,2013,78.13
852,3,5,2013,77.99
853,6,5,2013,77.99
854,7,5,2013,78.02
855,8,5,2013,78.15
856,9,5,2013,77.98
857,10,5,2013,77.92
858,13,5,2013,78.01
859,14,5,2013,77.86
860,15,5,2013,77.84
861,16,5,2013,77.85
862,17,5,2013,77.85
863,20,5,2013,78.0
864,21,5,2013,77.96
865,22,5,2013,77.89
866,23,5,2013,77.86
867,24,5,2013,77.85
868,27,5,2013,77.81
869,28,5,2013,77.88
870,29,5,2013,77.88
871,30,5,2013,77.88
872,31,5,2013,77.87
873,3,6,2013,77.83
874,4,6,2013,77.85
875,5,6,2013,77.88
876,6,6,2013,77.85
877,7,6,2013,77.88
878,10,6,2013,77.86
879,11,6,2013,77.83
880,12,6,2013,77.88
881,13,6,2013,77.875
882,14,6,2013,77.85
883,17,6,2013,77.97
884,18,6,2013,77.9
885,19,6,2013,77.98
886,20,6,2013,77.98
887,21,6,2013,77.79
888,24,6,2013,77.77
889,25,6,2013,77.95
890,26,6,2013,77.81
891,27,6,2013,77.76
892,28,6,2013,77.91
893,1,7,2013,77.79
894,2,7,2013,77.88
895,3,7,2013,77.88
896,4,7,2013,77.82
897,5,7,2013,77.77
898,8,7,2013,77.94
899,9,7,2013,77.93
900,10,7,2013,77.99
901,11,7,2013,77.845
902,12,7,2013,77.89
903,15,7,2013,77.95
904,16,7,2013,77.76
905,17,7,2013,77.89
906,18,7,2013,77.89
907,19,7,2013,77.92
908,22,7,2013,77.78
909,23,7,2013,77.875
910,24,7,2013,77.88
911,25,7,2013,77.91
912,26,7,2013,77.85
913,29,7,2013,77.76
914,30,7,2013,77.85
915,31,7,2013,77.94
916,1,8,2013,77.88
917,2,8,2013,77.95
918,5,8,2013,77.76
919,6,8,2013,77.91
920,7,8,2013,77.83
921,8,8,2013,77.9
922,9,8,2013,77.88
923,12,8,2013,77.815
924,13,8,2013,77.845
925,14,8,2013,77.755
926,15,8,2013,77.875
927,16,8,2013,77.83
928,19,8,2013,77.825
929,20,8,2013,77.805
930,21,8,2013,77.67
931,22,8,2013,77.5
932,23,8,2013,77.855
933,26,8,2013,77.76
934,27,8,2013,77.855
